career_name;canonical_skill
.net developer;visual studio
.net developer;.net core
.net developer;vb.net
.net developer;mvc
.net developer;dapper
.net developer;azure devops
.net developer;entity framework
.net developer;moq
.net developer;c#
.net developer;webapi
.net developer;f#
.net developer;.net
.net developer;nunit basics
.net developer;cloud computing
.net developer;blazor
.net developer;docker
.net developer;unit testing
.net developer;design patterns
.net developer;sql server
.net developer;javascript
.net developer;asp.net
.net developer;kubernetes
.net developer;testing with xunit
.net developer;azure
.net developer;css
.net developer;solid principles
.net developer;linq
.net developer;rest api
.net developer;nosql
.net developer;angular
.net developer;web api
.net developer;.net framework
.net developer;ci/cd
.net developer;asp.net basics
.net developer;git
.net developer;microservices
.net developer;html
.net developer;signalr
.net developer;testing with nunit
.net developer;grpc
.net developer;razor
ai engineer - fresher;classification
ai engineer - fresher;clustering
ai engineer - fresher;mongodb
ai engineer - fresher;scikit-learn
ai engineer - fresher;regression
ai engineer - fresher;sql
ai engineer - fresher;numpy
ai engineer - fresher;pandas
ai engineer - fresher;neural networks
ai engineer - fresher;pytorch
ai engineer - fresher;c++
ai engineer - fresher;opencv
ai engineer - fresher;python
ai engineer - fresher;nosql
ai engineer - fresher;nltk
ai engineer - fresher;tensorflow
ai engineer - fresher;r
ai engineer - fresher;java
ai engineer - fresher;keras
ai engineer - fresher;supervised/unsupervised learning
ai engineer - experienced;nlp
ai engineer - experienced;onnx
ai engineer - experienced;apache spark
ai engineer - experienced;scikit-learn
ai engineer - experienced;reinforcement learning
ai engineer - experienced;deep learning
ai engineer - experienced;llms
ai engineer - experienced;aws
ai engineer - experienced;hugging face
ai engineer - experienced;docker
ai engineer - experienced;pytorch
ai engineer - experienced;hugging face transformers
ai engineer - experienced;shap
ai engineer - experienced;kubernetes
ai engineer - experienced;c++
ai engineer - experienced;python
ai engineer - experienced;azure
ai engineer - experienced;hadoop
ai engineer - experienced;spark
ai engineer - experienced;gcp
ai engineer - experienced;ci/cd
ai engineer - experienced;computer vision
ai engineer - experienced;model monitoring
ai engineer - experienced;tensorflow
ai engineer - experienced;r
ai engineer - experienced;java
ai engineer - experienced;lime
ai engineer - experienced;generative ai
ai engineer - experienced;keras
ai engineer - experienced;mlops
ai prompt engineer;openai api
ai prompt engineer;deep nlp expertise
ai prompt engineer;openai gpt models exposure
ai prompt engineer;prompt optimization
ai prompt engineer;prompt chain-of-thought
ai prompt engineer;hugging face transformers
ai prompt engineer;gpt models intro
ai prompt engineer;prompt writing
ai prompt engineer;tensorflow
ai prompt engineer;data visualization
ai prompt engineer;advanced javascript
ai prompt engineer;nltk basics
ai prompt engineer;javascript
ai prompt engineer;nlp frameworks
ai prompt engineer;azure cognitive services
ai prompt engineer;openai gpt intro
ai prompt engineer;hugging face
ai prompt engineer;intro nlp
ai prompt engineer;creativity
ai prompt engineer;pytorch
ai prompt engineer;teamwork
ai prompt engineer;problem solving
ai prompt engineer;python
ai prompt engineer;llm tuning
ai prompt engineer;leadership
ai prompt engineer;spacy basics
ai prompt engineer;advanced python
ai prompt engineer;python basics
ai prompt engineer;communication
ai prompt engineer;machine learning for prompt tuning
ai prompt engineer;collaboration
ai prompt engineer;advanced nlp
ai prompt engineer;critical thinking
ai prompt engineer;gpt model exposure
ai prompt engineer;data analysis
ai prompt engineer;machine learning analysis
ai prompt engineer;api integration (openai/azure)
ai prompt engineer;analytics
android developer intern;kotlin
android developer intern;git
android developer intern;ui/ux
android developer intern;mvc
android developer intern;rest api
android developer intern;java
android developer intern;xml
android developer intern;sqlite
android developer intern;android studio
junior android developer;kotlin
