source;kode_mk;clo_id;skill_text;skill_type;original_clo
TELU;BBK4LBB3;CLO2;adopsi teknologi informasi.;HSkill;BBK4LBB3: T Mampu menjabarkan atribut inovasi dan tingkat adopsi serta menguraikan model-model difusi dan adopsi teknologi informasi.
TELU;BBK4LBB3;CLO3;teknologi informasi.;HSkill;BBK4LBB3: Mampu menganalisis tingkat adopsi dari suatu studi kasus serta menganalisis strategi penerimaan teknologi informasi.
TELU;BBK1AAB4;CLO1;flowchart,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;pseudocode,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;pemrograman,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;konsep variabel,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;array,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;algoritma,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;debugging,;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;exception;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
TELU;BBK1AAB4;CLO1;pemrograman.;HSkill;BBK1AAB4: Mampu memahami flowchart, pseudocode, sejarah pemrograman, konsep variabel, tipe data, type casting, user input, operator, percabangan if-el
