source,original_skill,canonical_skill,similarity_score,mapping_method,status
Jobs,.net,.net,1.0,exact,accepted
Jobs,.net core,.net core,1.0,exact,accepted
Jobs,.net core basics,.net core,0.883,semantic,accepted
Jobs,.net core fundamentals,.net core,0.8722,semantic,accepted
Jobs,.net development tools,.net development tools,1.0,exact,accepted
Jobs,.net framework,.net framework,1.0,exact,accepted
Jobs,.net framework basics,.net framework,0.915,semantic,accepted
Jobs,2d animation,2d animation,1.0,exact,accepted
Jobs,2d/3d animation,2d animation,0.9261,semantic,accepted
Jobs,3d animation,2d animation,0.8111,semantic,review
Jobs,3d design,3d design,1.0,exact,accepted
Jobs,3d design basics,3d design,0.8758,semantic,accepted
Jobs,3d modeling,3d design,0.8454,semantic,review
Jobs,3d modeling and animation expert,3d modeling/animation expert,0.9867,semantic,accepted
Jobs,3d modeling and graphics,3d design,0.8094,semantic,review
Jobs,3d modeling basics,3d design,0.7592,semantic,review
Jobs,3d modeling fundamentals,3d design,0.7585,semantic,review
Jobs,3d modeling/animation advanced,3d modeling/animation advanced,1.0,exact,accepted
Jobs,3d modeling/animation expert,3d modeling/animation expert,1.0,exact,accepted
Jobs,a/b testing,a/b testing,1.0,exact,accepted
Jobs,access control,access control,1.0,exact,accepted
Jobs,accessibility,accessibility,1.0,exact,accepted
Jobs,accessibility standards,accessibility,0.8737,semantic,accepted
Jobs,accessibility testing,accessibility testing,1.0,exact,accepted
Jobs,account management,account management,1.0,exact,accepted
Course,account management,account management,1.0,exact,accepted
Course,accounting,accounting,1.0,exact,accepted
Course,accounting software,accounting software,1.0,exact,accepted
Course,accounts payable and receivable,accounts payable and receivable,1.0,exact,accepted
Jobs,active directory,active directory,1.0,exact,accepted
Jobs,active listening,active listening,1.0,exact,accepted
Jobs,actuator integration,actuator integration,1.0,exact,accepted
Jobs,actuators,actuators,1.0,exact,accepted
Jobs,ada compliance,ada compliance,1.0,exact,accepted
Jobs,adaptability,adaptability,1.0,exact,accepted
Course,adaptability,adaptability,1.0,exact,accepted
Jobs,adaptable tone and style,adaptable tone and style,1.0,exact,accepted
Jobs,adaptable writing style,adaptable writing style,1.0,exact,accepted
Jobs,adaptation of tone and style,tone and style adaptation,0.9767,semantic,accepted
Jobs,administrative support,administrative support,1.0,exact,accepted
Jobs,adobe creative suite,adobe creative suite,1.0,exact,accepted
Jobs,adobe creative suite basics,adobe creative suite,0.897,semantic,accepted
Jobs,adobe framemaker,adobe framemaker,1.0,exact,accepted
Jobs,adobe illustrator,illustrator,0.9385,semantic,accepted
Jobs,adobe indesign,adobe indesign,1.0,exact,accepted
Jobs,adobe photoshop,photoshop,0.9054,semantic,accepted
Jobs,adobe xd,adobe xd,1.0,exact,accepted
Jobs,advanced 3d graphics,advanced 3d graphics,1.0,exact,accepted
Jobs,advanced 3d modeling and animation,3d modeling/animation advanced,0.9698,semantic,accepted
Jobs,advanced 3d modeling/animation,3d modeling/animation advanced,0.9896,semantic,accepted
Jobs,advanced adobe photoshop,photoshop,0.7252,semantic,review
Jobs,advanced ai and gameplay,gameplay systems,0.9867,semantic,accepted
Jobs,advanced ai and gameplay systems,gameplay systems,0.9797,semantic,accepted
Jobs,advanced ai/gameplay systems,gameplay systems,0.7085,semantic,review
Jobs,advanced ai/ml,advanced ai/ml,1.0,exact,accepted
Jobs,advanced analytics,advanced analytics,1.0,exact,accepted
Jobs,"advanced analytics (google analytics, tableau, mixpanel)","analytics (ga, tableau)",0.7808,semantic,review
Jobs,advanced analytics and a/b testing,advanced analytics and a/b testing,1.0,exact,accepted
Jobs,advanced bi modeling,advanced bi modeling,1.0,exact,accepted
Jobs,advanced budgeting and resource allocation,budgeting,0.7761,semantic,review
Jobs,advanced c programming,advanced c programming,1.0,exact,accepted
Jobs,advanced c++,advanced c++,1.0,exact,accepted
Jobs,"advanced c, c++",advanced c++,0.9201,semantic,accepted
Jobs,advanced cad,advanced cad,1.0,exact,accepted
Jobs,advanced cad/solidworks,advanced cad,0.8805,semantic,accepted
Jobs,advanced content optimization,content strategy,0.9185,semantic,accepted
Jobs,advanced content strategy,content strategy,0.9067,semantic,accepted
Jobs,advanced control theory,control theory,0.9173,semantic,accepted
Jobs,advanced copywriting,copywriting,0.9151,semantic,accepted
Jobs,advanced copywriting and editing,copywriting,0.8548,semantic,accepted
Jobs,advanced data analysis,advanced data analysis,1.0,exact,accepted
Jobs,advanced digital campaigns,advanced digital campaigns,1.0,exact,accepted
Jobs,advanced digital marketing,marketing strategy,0.9103,semantic,accepted
Jobs,advanced digital marketing campaigns,advanced digital campaigns,0.9051,semantic,accepted
Jobs,advanced digital marketing strategies,marketing strategy,0.7121,semantic,review
Jobs,advanced digital marketing strategy,marketing strategy,0.7492,semantic,review
Jobs,advanced editing,advanced editing,1.0,exact,accepted
Jobs,advanced gameplay and ai,gameplay systems,0.9867,semantic,accepted
Jobs,advanced gameplay and ai systems,gameplay systems,0.7145,semantic,review
Jobs,advanced gameplay systems,gameplay systems,0.8901,semantic,accepted
Jobs,advanced java,advanced java,1.0,exact,accepted
Jobs,advanced javascript,advanced javascript,1.0,exact,accepted
Jobs,advanced marketing strategy,marketing strategy,0.8624,semantic,accepted
Jobs,"advanced ml/dl: deep learning, nlp, reinforcement learning, computer vision, transfer learning","ml/dl: deep learning, reinforcement learning, nlp, computer vision, transfer learning",0.959,semantic,accepted
Jobs,"advanced ml/dl: deep learning, reinforcement learning, nlp, computer vision, transfer learning","ml/dl: deep learning, reinforcement learning, nlp, computer vision, transfer learning",0.959,semantic,accepted
Jobs,advanced network security,advanced network security,1.0,exact,accepted
Jobs,advanced networking,advanced networking,1.0,exact,accepted
Jobs,advanced nlp,advanced nlp,1.0,exact,accepted
Jobs,advanced on-page and off-page seo,advanced on-page and off-page seo,1.0,exact,accepted
Jobs,advanced performance optimization,performance optimization,0.8863,semantic,accepted
Jobs,advanced photoshop,photoshop,0.824,semantic,review
Jobs,advanced project management,project management,0.8776,semantic,accepted
Jobs,advanced project planning,basic project planning,0.857,semantic,accepted
Jobs,advanced project planning and execution,basic project planning,0.7699,semantic,review
Jobs,advanced project planning and scheduling,basic project planning,0.7338,semantic,review
Jobs,advanced project scheduling and planning,basic project planning,0.7293,semantic,review
Jobs,"advanced prompt design (chain-of-thought, iterative optimization)",prompt optimization,0.7948,semantic,review
Jobs,advanced python,advanced python,1.0,exact,accepted
Jobs,"advanced python, c/c++","advanced python, c/c++",1.0,exact,accepted
Jobs,"advanced python, c/c++, javascript","python, c/c++, javascript",0.947,semantic,accepted
Jobs,advanced react,react,0.8595,semantic,accepted
Jobs,"advanced react (hooks, redux)","advanced react (hooks, redux)",1.0,exact,accepted
Jobs,advanced robotics control,advanced robotics control,1.0,exact,accepted
Jobs,advanced robotics control algorithms,advanced robotics control,0.9039,semantic,accepted
Jobs,advanced scheduling and budgeting,budgeting,0.7424,semantic,review
Jobs,"advanced scheduling, budgeting, and resource allocation",budgeting,0.9444,semantic,accepted
Jobs,advanced sensor integration,sensor integration,0.8986,semantic,accepted
Jobs,advanced seo,basic seo,0.7433,semantic,review
Jobs,advanced seo and analytics,advanced seo and analytics,1.0,exact,accepted
Jobs,advanced seo and keyword optimization,seo and keyword optimization,0.8764,semantic,accepted
Jobs,advanced seo and sem,seo/sem,0.9014,semantic,accepted
Jobs,advanced seo skills,advanced seo skills,1.0,exact,accepted
Jobs,advanced seo strategy,basic seo,0.7033,semantic,review
Jobs,advanced seo techniques,basic seo,0.7411,semantic,review
Jobs,advanced seo/sem,seo/sem,0.8983,semantic,accepted
Jobs,advanced seo/sem/ppc,seo/sem/ppc,0.9243,semantic,accepted
Jobs,advanced sql,advanced sql,1.0,exact,accepted
Jobs,advanced statistical analysis,advanced statistical analysis,1.0,exact,accepted
Jobs,advanced tableau,tableau,0.8665,semantic,accepted
Jobs,advanced technical seo,basic seo,0.9122,semantic,accepted
Jobs,advanced technical writing,technical writing,0.9094,semantic,accepted
Jobs,advanced threat detection,advanced threat detection,1.0,exact,accepted
Jobs,advanced writing and editing,advanced writing and editing,1.0,exact,accepted
Jobs,advanced writing skills,advanced writing skills,1.0,exact,accepted
Course,advertising,advertising,1.0,exact,accepted
Course,advertising sales,advertising,0.8807,semantic,accepted
Jobs,after effects,after effects,1.0,exact,accepted
OBE,agile,agile,1.0,exact,accepted
Jobs,agile,agile,1.0,exact,accepted
Course,agile,agile,1.0,exact,accepted
Jobs,"agile (scrum, kanban basics)",scrum and kanban basics,0.9061,semantic,accepted
Jobs,agile awareness,agile awareness,1.0,exact,accepted
Jobs,agile documentation,agile documentation,1.0,exact,accepted
Jobs,agile facilitation,agile facilitation,1.0,exact,accepted
Jobs,agile fundamentals,agile,0.8715,semantic,accepted
Jobs,agile knowledge,agile knowledge,1.0,exact,accepted
Jobs,agile leadership,agile leadership,1.0,exact,accepted
Jobs,agile methodologies,agile methods,0.925,semantic,accepted
Jobs,"agile methodologies (scrum, kanban)",scrum and kanban basics,0.8498,semantic,review
Jobs,agile methodology,agile methods,0.9173,semantic,accepted
Jobs,agile methodology awareness,agile awareness,0.8525,semantic,accepted
Jobs,agile methodology knowledge,agile knowledge,0.8981,semantic,accepted
Jobs,agile methods,agile methods,1.0,exact,accepted
Jobs,agile oversight,agile oversight,1.0,exact,accepted
