course_id;course_name;platform;level;canonical_skill
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;algorithms
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;benefits
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;business
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data analysis
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data dictionary
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data integration
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data quality
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data structures
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data synthesis
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data transformation
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;data types
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;database
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;etl
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;express
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;extract
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;fraud detection
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;go
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;health
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;health informatics
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;implementation
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;load
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;medical coding
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;metrics
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;predictive modeling
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;quality assessment
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;reporting
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;risk analysis
C0001;Analytical Solutions to Common Healthcare Problems;University of California, Davis;Intermediate;transform
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;artificial intelligence
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;data mining
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;go
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;innovation
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;mathematical modeling
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;mathematics
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;mechanics
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;physics
C0002;Understanding Einstein: The Special Theory of Relativity;Stanford University;Beginner;professional development
